variant,country_standard
Spain,Spain
spain,Spain
España,Spain
ESP,Spain
ES,Spain
United States,United States
USA,United States
U.S.A.,United States
US,United States
United Kingdom,United Kingdom
UK,United Kingdom
U.K.,United Kingdom
England,United Kingdom
Great Britain,United Kingdom
Britain,United Kingdom
France,France
france,France
Francia,France
Germany,Germany
germany,Germany
Alemania,Germany
Netherlands,Netherlands
Holland,Netherlands
Holanda,Netherlands
Italy,Italy
Italia,Italy
Portugal,Portugal
Ukraine,Ukraine
Ucrania,Ukraine
Belgium,Belgium
Bélgica,Belgium
Norway,Norway
Noruega,Norway
Russia,Russia
Rusia,Russia
RU,Russia
UA,Ukraine
BE,Belgium
NO,Norway
Switzerland,Switzerland
Suiza,Switzerland
CH,Switzerland
Swiss,Switzerland
